Business Name,Address,city,Niche,Opening time,Email,Phone ,Website,ID,Facebook,instagram,linkedin,Youtube,twitter,whatsapp
Hotel,Makani # 2884896729 - 4 Corniche Rd - Deira - Dubai - United Arab Emirates,,Hotels,[],"[""accessibility@wyndham.com""]","[""+18779993223""]",https://www.wyndhamhotels.com/wyndham/dubai-united-arab-emirates/wyndham-dubai-deira/overview?CID=LC:46q62bu8edfbx3y:49712&iata=00093796,1,"[""https://www.facebook.com/wyndhamhotelsresorts""]","[""https://www.instagram.com/wyndham""]",[],[],[],[]
Hotel,Ibis Styles Dubai - Maitha Plaza - Deira - Dubai - United Arab Emirates,,Hotels,[],"[""HA7N5@accor.com""]",[],https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=A7N5&merchantid=seo-maps-AE-A7N5&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,2,[],"[""https://www.instagram.com/all""]","[""https://www.linkedin.com/company/all-accorlivelimitless""]","[""https://www.youtube.com/All_AccorLiveLimitless""]","[""https://twitter.com/all""]",[]
Hotel,"Creek Street Exit 3 25°15'57.1""N 55°17'24.5""E Al Fahidi - Al Shindagha - Dubai - United Arab Emirates",,Hotels,[],"[""info@arabianboutiquehotel.com""]","[""+97143497500""]",https://arabianboutiquehotel.com/,3,"[""https://www.facebook.com/arabianboutiquehotel""]","[""https://www.instagram.com/arabianboutique.hotel""]",[],"[""https://www.youtube.com/@arabianboutiquehotel""]",[],[]
Hotel,Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates,,Hotels,[],[],[],http://www.concordecreekview.com/,4,[],[],[],[],[],[]
Hotel,Al Souq Al Kabeer - Dubai - United Arab Emirates,,Hotels,[],"[""Reservations@wescotthotels.com""]",[],https://www.wescotthotels.com/,5,"[""https://www.facebook.com/WescottHotel""]",[],[],[],[],[]
Hotel,Makani # 2884896729 - 4 Corniche Rd - Deira - Dubai - United Arab Emirates,,Hotels,[],"[""accessibility@wyndham.com""]","[""+18779993223""]",https://www.wyndhamhotels.com/wyndham/dubai-united-arab-emirates/wyndham-dubai-deira/overview?CID=LC:46q62bu8edfbx3y:49712&iata=00093796,6,"[""https://www.facebook.com/wyndhamhotelsresorts""]","[""https://www.instagram.com/wyndham""]",[],[],[],[]
Hotel,Ibis Styles Dubai - Maitha Plaza - Deira - Dubai - United Arab Emirates,,Hotels,[],"[""HA7N5@accor.com""]",[],https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=A7N5&merchantid=seo-maps-AE-A7N5&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,7,[],"[""https://www.instagram.com/all""]","[""https://www.linkedin.com/company/all-accorlivelimitless""]","[""https://www.youtube.com/All_AccorLiveLimitless""]","[""https://twitter.com/all""]",[]
Hotel,"Creek Street Exit 3 25°15'57.1""N 55°17'24.5""E Al Fahidi - Al Shindagha - Dubai - United Arab Emirates",,Hotels,[],"[""info@arabianboutiquehotel.com""]","[""+97143497500""]",https://arabianboutiquehotel.com/,8,"[""https://www.facebook.com/arabianboutiquehotel""]","[""https://www.instagram.com/arabianboutique.hotel""]",[],"[""https://www.youtube.com/@arabianboutiquehotel""]",[],[]
Hotel,Al Souq Al Kabeer - Dubai - United Arab Emirates,,Hotels,[],"[""Reservations@wescotthotels.com""]",[],https://www.wescotthotels.com/,9,"[""https://www.facebook.com/WescottHotel""]",[],[],[],[],[]
Hotel,Sherina Plaza - 4 Al Corniche Road 111 - Deira - Dubai - United Arab Emirates,,Hotels,[],"[""HC474@accor.com""]",[],https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=C474&merchantid=seo-maps-AE-C474&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,10,[],"[""https://www.instagram.com/all""]","[""https://www.linkedin.com/company/all-accorlivelimitless""]","[""https://www.youtube.com/All_AccorLiveLimitless""]","[""https://twitter.com/all""]",[]
Hotel,Al Falah St - Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates,,Hotels,[],"[""reservations@grandambassadorhotels.com""]","[""042844727""]",https://grandambassadorhotels.com/,11,[],"[""https://www.instagram.com/grandambassadorhoteldxb""]","[""https://www.linkedin.com/company/grand-ambassador-hotel-dxb""]","[""https://youtube.com/@grandambassadorhotel""]",[],"[""https://wa.me/+971507469587""]"
Hotel,110 Al Khaleej St - Deira - Dubai - United Arab Emirates,,Hotels,[],[],"[""+97142339333""]",https://www.adagio-city.com/gb/hotel-a7n6-aparthotel-adagio-dubai-deira.shtml?utm_campaign=seoMaps&utm_medium=seoMaps&utm_source=googleMaps&y_source=1_MTUzNTkyODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,12,[],[],[],[],[],[]
Hotel,Maryam Plaza1 - 113 Al Daghaya St - Deira - Al Sabkha - Dubai - United Arab Emirates,,Hotels,[],"[""HC475@accor.com""]",[],https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=C475&merchantid=seo-maps-AE-C475&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,13,[],"[""https://www.instagram.com/all""]","[""https://www.linkedin.com/company/all-accorlivelimitless""]","[""https://www.youtube.com/All_AccorLiveLimitless""]","[""https://twitter.com/all""]",[]
Hotel,778V+JPJ - Baniyas Rd - Deira - Al Ras - Dubai - United Arab Emirates,,Hotels,[],[],[],https://stgeorgehotel.ae-dubai.info/,14,[],[],[],[],[],[]
